%time,field.data
152445000000,EXPLORING
152945000000,EXPLORING
153445000000,EXPLORING
153945000000,EXPLORING
154445000000,EXPLORING
154945000000,EXPLORING
155445000000,EXPLORING
155945000000,EXPLORING
156445000000,EXPLORING
156945000000,EXPLORING
157445000000,EXPLORING
157945000000,EXPLORING
158445000000,EXPLORING
158945000000,EXPLORING
159445000000,EXPLORING
159945000000,EXPLORING
160445000000,EXPLORING
160945000000,EXPLORING
161445000000,EXPLORING
161945000000,EXPLORING
162445000000,EXPLORING
162945000000,EXPLORING
163446000000,EXPLORING
163945000000,EXPLORING
164527000000,EXPLORING
165045000000,EXPLORING
165546000000,EXPLORING
166045000000,EXPLORING
166545000000,EXPLORING
167045000000,EXPLORING
167545000000,EXPLORING
168045000000,EXPLORING
168545000000,EXPLORING
169045000000,EXPLORING
169545000000,EXPLORING
170045000000,EXPLORING
170546000000,EXPLORING
171045000000,EXPLORING
171545000000,EXPLORING
172045000000,EXPLORING
172545000000,EXPLORING
173045000000,EXPLORING
173545000000,EXPLORING
174045000000,EXPLORING
174545000000,EXPLORING
175045000000,EXPLORING
175545000000,EXPLORING
176045000000,EXPLORING
176545000000,EXPLORING
177045000000,EXPLORING
177546000000,EXPLORING
178045000000,EXPLORING
178546000000,EXPLORING
179045000000,EXPLORING
179545000000,EXPLORING
180045000000,EXPLORING
180545000000,EXPLORING
181045000000,EXPLORING
181545000000,EXPLORING
182045000000,EXPLORING
182545000000,EXPLORING
183045000000,EXPLORING
183545000000,EXPLORING
184046000000,EXPLORING
184545000000,EXPLORING
185045000000,EXPLORING
185545000000,EXPLORING
186046000000,EXPLORING
186545000000,EXPLORING
187045000000,EXPLORING
187545000000,EXPLORING
188045000000,EXPLORING
188545000000,EXPLORING
189045000000,EXPLORING
189545000000,EXPLORING
190045000000,EXPLORING
190545000000,EXPLORING
191045000000,EXPLORING
191545000000,EXPLORING
192046000000,EXPLORING
192545000000,EXPLORING
193045000000,EXPLORING
193550000000,EXPLORING
194050000000,EXPLORING
194550000000,EXPLORING
195050000000,EXPLORING
195550000000,EXPLORING
196050000000,EXPLORING
196549000000,EXPLORING
197050000000,EXPLORING
197550000000,EXPLORING
