%time,field.data
19233000000,EXPLORING
19508000000,EXPLORING
20008000000,EXPLORING
20508000000,EXPLORING
21008000000,EXPLORING
21519000000,WAITING_ACTION
22069000000,WAITING_ACTION
22608000000,WAITING_ACTION
23108000000,WAITING_ACTION
23608000000,WAITING_ACTION
24108000000,WAITING_ACTION
24608000000,WAITING_ACTION
25108000000,WAITING_ACTION
25608000000,WAITING_ACTION
26108000000,WAITING_ACTION
26608000000,WAITING_ACTION
27108000000,RETREATING
27608000000,RETREATING
28108000000,RETREATING
28608000000,RETREATING
29108000000,RETREATING
29608000000,RETREATING
30108000000,RETREATING
30608000000,RETREATING
31145000000,EXPLORING
31658000000,EXPLORING
32158000000,EXPLORING
32658000000,EXPLORING
33158000000,EXPLORING
33658000000,EXPLORING
34166000000,WAITING_ACTION
34708000000,WAITING_ACTION
35208000000,WAITING_ACTION
35708000000,WAITING_ACTION
36208000000,WAITING_ACTION
36708000000,WAITING_ACTION
37208000000,WAITING_ACTION
37708000000,WAITING_ACTION
38208000000,WAITING_ACTION
38708000000,WAITING_ACTION
39208000000,WAITING_ACTION
39708000000,WAITING_ACTION
40208000000,RETREATING
40708000000,RETREATING
41208000000,RETREATING
41708000000,RETREATING
42208000000,RETREATING
42709000000,RETREATING
43208000000,RETREATING
43711000000,IDLE
44258000000,EXPLORING
44758000000,EXPLORING
45258000000,EXPLORING
45758000000,EXPLORING
46258000000,EXPLORING
46758000000,EXPLORING
47258000000,EXPLORING
47758000000,EXPLORING
48258000000,EXPLORING
48758000000,EXPLORING
49258000000,EXPLORING
49758000000,EXPLORING
50259000000,EXPLORING
50758000000,EXPLORING
51258000000,EXPLORING
51758000000,EXPLORING
52258000000,EXPLORING
52758000000,EXPLORING
53258000000,EXPLORING
53758000000,EXPLORING
54261000000,EXPLORING
54808000000,EXPLORING
55308000000,EXPLORING
55808000000,EXPLORING
56309000000,EXPLORING
56808000000,EXPLORING
57308000000,EXPLORING
57808000000,EXPLORING
58308000000,EXPLORING
58808000000,EXPLORING
59309000000,EXPLORING
59925000000,EXPLORING
